x,y,z,T
0.04,-0.015,0.990909091,14002.97314
0.04,-0.015243078,0.990798445,14006.85299
0.04,-0.015,1,13950.25779
0.033700163,-0.015,0.994017359,13981.22077
0.031504555,-0.015,0.985824441,14069.84538
0.040243078,-0.015,0.990798445,14006.87505
0.04,-0.007567704,0.994646498,13968.9003
0.040263623,-0.007620884,0.994438302,13972.64396
0.04,-0.0075,1,13950.06139
0.04,-4.88E-19,1,13953.30917
0.04,-0.015246846,0.981759749,14105.39738
0.04,-0.015,0.981818182,14102.70342
0.0324067,-0.015,0.976596037,14150.62958
0.04,-2.44E-04,0.990758062,14003.12748
0.04,-0.015,0.972727273,14181.6763
0.04,-0.015249194,0.972697191,14183.6381
0.032127554,-0.015,0.968181818,14213.2191
0.04,-2.54E-04,0.98176771,14101.58139
0.040252247,-2.54E-04,0.98164614,14104.83682
0.04,0.007127554,0.986363636,14057.59376
0.04,0.015,0.990909091,14006.97057
0.040235397,0.015,0.990803954,14010.42736
0.04,0.015,1,13951.56081
0.04,0.007397163,0.994656411,13970.57173
0.034005284,0.015,0.993697788,13986.23228
0.034099233,0.015258014,0.993505813,13990.01336
0.031111111,0.015,1,13965.66902
0.04,0.015235397,0.990803954,14010.82752
0.016691303,-0.015,0.967114754,14237.76842
0.01669719,-0.015250232,0.967045971,14240.36318
0.017541891,-0.015,0.976495214,14166.50812
0.010985605,-0.015,0.971060546,14213.04231
0.010991163,-0.01525033,0.970980604,14215.77885
-0.034005284,-0.015,0.993697788,13981.6466
-0.034099459,-0.015258635,0.99350535,13985.39493
-0.02597765,-0.015,0.991457532,14002.6612
-0.031111111,-0.015,1,13963.60026
-0.04,-0.015,1,13946.78795
0.04,-0.015,0.963636364,14240.1682
0.04,-0.015249265,0.96362148,14242.30681
0.032127554,-0.015,0.959090909,14269.36356
0.045912439,-0.021266468,0.997868927,13910.11483
0.043736216,-0.025,0.992967983,13938.48167
0.05,-0.025,0.997849049,13834.22794
0.040909091,-0.025,0.997838414,13902.04025
0.04,0.007127554,0.977272727,14136.64988
0.043604491,-0.019364685,0.996096616,13959.12069
0.05,-0.020341835,0.994868076,13912.77124
0.05,-0.016666667,0.997866754,13896.00233
0.05,-0.025,0.991515453,13899.11363
0.042238162,-0.02112639,0.990875054,14007.43043
0.04,0.015,0.981818182,14105.22552
0.040246668,0.015,0.981760829,14107.64433
0.02597765,0.015,0.991457532,14004.14327
0.036195047,-0.025,0.992011352,13984.60664
0.036521192,-0.020748943,0.997835485,13957.63672
0.031818182,-0.025,0.997772608,13930.99277
0.031468187,-0.020607339,0.991977336,14025.88523
0.027221552,-0.025,0.991962183,13996.24637
0.027425553,-0.020865868,0.997764747,13973.34509
0.022727273,-0.025,0.997701329,13941.65997
0.00848898,-0.015,0.962762318,14267.33173
0.008490909,-0.015249504,0.962702977,14269.75009
0.00408053,-0.015,0.970523503,14219.62427
5.48E-04,-0.015,0.964842275,14254.04256
5.47E-04,-0.015249402,0.964777834,14256.64765
-0.002609229,-0.015,0.969544064,14225.70114
-0.008928567,-0.015,0.972328452,14208.73277
-0.008937528,-0.015252029,0.972241317,14211.30401
-0.001475881,-0.015,0.976775416,14172.82266
-0.00852499,-0.015,0.979653442,14145.71181
-0.016894208,-0.015,0.977434276,14158.45
-0.016914185,-0.015253166,0.977327374,14161.59588
-0.012505601,-0.015,0.985676306,14089.68041
-0.019526515,-0.015,0.985697346,14083.93915
-0.025515458,-0.015,0.981578579,14117.75092
-0.025545482,-0.015252782,0.98145705,14120.93633
-0.04,-0.015,0.990909091,14000.4086
-0.04,-0.015235189,0.990808053,14004.39923
-0.040235189,-0.015,0.990808053,14003.87337
-0.04,-0.007397163,0.994656411,13962.70776
0.04,-0.015,0.954545455,14292.35073
0.04,-0.015249618,0.954538381,14294.31008
0.032127554,-0.015,0.95,14313.1542
0.041435719,-0.025,0.985863807,14023.82868
0.038918395,-0.019793732,0.985108598,14083.99014
0.04,-3.66E-04,0.972715807,14174.1556
0.040249501,-3.66E-04,0.972630062,14176.80458
0.04,0.007127554,0.968181818,14200.92754
0.04,0.015,0.972727273,14181.48936
0.040248737,0.015,0.9726975,14183.32502
0.05,-0.011540467,0.995186693,13942.5332
0.045748522,-0.012139064,0.997893328,13950.29885
0.05,-0.008333333,0.997913133,13919.013
0.045661593,-0.009354603,0.993572489,13997.32807
0.044576096,-0.014085862,0.987235608,14057.88766
