rule,type,coef,support,importance
x_scale,linear,30.555769835241883,1.0,30.430492508253316
y_scale,linear,-22.681056644563334,1.0,22.67448171774924
x_scale <= -1.5220391154289246 & x_scale <= -1.678020179271698,rule,-84.72820426764473,0.013022789882294014,9.60580090795685
x_scale <= -1.6770704984664917 & x_scale <= -1.462259829044342,rule,-63.149373389521,0.013523666416228399,7.293896655636559
x_scale <= -1.5434170365333557,rule,-29.751146930459445,0.049085900325569747,6.427657643073917
x_scale <= -1.4388583302497864,rule,-12.709201261370646,0.08339594290007513,3.5138369586238647
x_scale > -1.480953335762024,rule,7.651604660168545,0.932381667918858,1.9212399688779334
x_scale > -1.5434170365333557,rule,6.9576240433435705,0.9509140996744303,1.5031765149882743
x_scale <= -1.5199525952339172,rule,-5.845401837142536,0.06461307287753569,1.4370445024446323
x_scale > -0.07517670467495918 & x_scale > -1.462259829044342,rule,1.8748138993389578,0.5284247433007764,0.9358909378456998
y_scale > -0.6760618090629578 & x_scale > -1.5220391154289246 & x_scale <= 0.004204843193292618 & x_scale > -0.7539254724979401,rule,1.6504396293711427,0.16053092912597045,0.6058726561655396
x_scale > -1.5220391154289246 & x_scale > 0.8550555408000946 & x_scale > 0.004204843193292618 & y_scale > -0.6912162601947784,rule,-1.2926112549883726,0.19208615076383673,0.5092118320707529
x_scale > -1.5220391154289246 & x_scale > 0.004204843193292618 & x_scale <= 0.8550555408000946 & y_scale > -0.6912162601947784,rule,1.2409457937906883,0.189832206361132,0.48665954580346593
x_scale > -1.5199525952339172,rule,1.474923386855989,0.9353869271224643,0.362597919469045
x_scale > -1.5220391154289246 & y_scale <= -0.6760618090629578 & x_scale <= 0.004204843193292618,rule,0.6477099460868733,0.11620335587277736,0.2075707121299781
y_scale > -0.6760618090629578 & x_scale > -1.5220391154289246 & x_scale <= 0.004204843193292618 & x_scale <= -0.7539254724979401,rule,-0.1571563610221536,0.15802654645629852,0.05732528044972508
x_scale > -1.4388583302497864 & x_scale <= 0.02553551271557808,rule,0.04013205138700573,0.42098672677185073,0.019813893351404037
